Codigo_Produto;Descricao_Pedido;Categoria;Quantidade_Exemplo;Peso_Item_Exemplo_kg;Volume_Item_Exemplo_m3;Base_Estimativa;Confianca_Estimativa;Aviso
13635;ASSENTO HERC ALMOF PRIME BR 2385;ASSENTO;2.0;2.0;0.0136;ANALOGO:7694 ASSENTO ASTRA SANIT SOFT BR1 sim=0.53;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20732;ASSENTO VIQUA SANITARIO OVAL SIMPLES BRANCO;ASSENTO;1.0;1.0;0.0068;ANALOGO:7694 ASSENTO ASTRA SANIT SOFT BR1 sim=0.56;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20861;ASSENTO VIQUA ALMOFADADO SANITARIO OVAL BRANCO;ASSENTO;1.0;1.0;0.0068;ANALOGO:7694 ASSENTO ASTRA SANIT SOFT BR1 sim=0.54;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
12187;CX. DAGUA BAKOF 3000L C/TMP;CAIXA_DAGUA;1.0;52.2;6.33;PROPORCIONAL_CAIXA_DAGUA_1000L;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
15766;CUBA JAPI APOIO VENEZA BR 460 X 345 X 155;CUBA_LAVATORIO;1.0;0.12;0.0003;ANALOGO:13697 VALVULA POLYFORT P/LAVAT BRANCA sim=0.33;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21566;TORN. BELLARENZO 4030 CLASS 5/8 P/ CUBA 90A 1/4 (BLISTER);CUBA_LAVATORIO;1.0;0.12;0.0003;ANALOGO:13697 VALVULA POLYFORT P/LAVAT BRANCA sim=0.24;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
22882;LAVAT. CELITE SUSPENSO 385 X 285MM COLIBRI, LOGASA, BRANC;CUBA_LAVATORIO;1.0;11.4;0.16;ANALOGO:5567 LAVAT. CELITE C/COL SAVERO/ ARIES BCO sim=0.52;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
8594;CUBA GHELPLUS INOX N2 PROF.140 POLIDA;CUBA_LAVATORIO;1.0;0.12;0.0003;ANALOGO:13697 VALVULA POLYFORT P/LAVAT BRANCA sim=0.21;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
11184;SPOT BLUMENAU EMB QUAD 18W LED 6.400K 80446004;ELETRICO_PEQUENO;1.0;4.0;0.072;ANALOGO:6615 TRELICA / ESPACADOR 6M LEVE MAIA sim=0.26;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
13016;SPOT BLUMENAU SOB QUAD 29CM ALUM. 24W;ELETRICO_PEQUENO;2.0;0.4;0.0009;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.38;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
17181;ABRACADERIA INCA GALVANIZADA TIPO U 3/4;ELETRICO_PEQUENO;3.0;0.12;0.00099;ANALOGO:23988 PARAFUSO EUROFIX P/SANIT B-10 LATONADO C/02 sim=0.39;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18785;BUCHA KRONA RED SOLD LONGA 25 X 20;ELETRICO_PEQUENO;4.0;0.8;0.0018;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.29;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18967;LAMP. BLUMENAU LED A60 E27 - 9W 1050LM 100-240V 6.500K;ELETRICO_PEQUENO;2.0;0.4;0.0009;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.21;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20373;PARAFUSO JOMARCA CAB CHATA PHS C/BUCHA 08;ELETRICO_PEQUENO;6.0;0.24;0.00198;ANALOGO:23988 PARAFUSO EUROFIX P/SANIT B-10 LATONADO C/02 sim=0.50;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20842;FITA 3M ISOLANTE IMPERIAL SLIM 18MM X 10M;ELETRICO_PEQUENO;1.0;0.2;0.00143;ANALOGO:17708 ESPACADOR CORTAG NIVELADOR SLIM 1,5MM VERMELHO sim=0.41;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21111;KIT RABICHO NITROLUX FITA LED P/2835;ELETRICO_PEQUENO;1.0;0.01;6e-06;ANALOGO:9861 PARAFUSO TORALF DE FIXAÇAO PA sim=0.40;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21156;HASTE FLUX DE ATERRAMENTO 3/8 1 METRO;ELETRICO_PEQUENO;1.0;0.01;6e-06;ANALOGO:9861 PARAFUSO TORALF DE FIXAÇAO PA sim=0.36;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21640;FITA NITROLUX LED 2835 220V 100M 6500K;ELETRICO_PEQUENO;3.0;0.6;0.00135;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.30;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
23063;SPOT BLUMENAU SLIM LED EMB QUAD 6W 65000K 80266001;ELETRICO_PEQUENO;18.0;3.6;0.0081;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.30;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
24477;LAMP. GOREMI LED G9 12W BQ;ELETRICO_PEQUENO;3.0;12.0;0.216;ANALOGO:6615 TRELICA / ESPACADOR 6M LEVE MAIA sim=0.36;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
3722;LUVA KRONA SOLD BUCHA LATAO 25 X 3/4;ELETRICO_PEQUENO;2.0;0.08;0.00066;ANALOGO:23988 PARAFUSO EUROFIX P/SANIT B-10 LATONADO C/02 sim=0.41;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
5209;CONECTOR P/HASTE DE COBRE;ELETRICO_PEQUENO;1.0;0.01;6e-06;ANALOGO:9861 PARAFUSO TORALF DE FIXAÇAO PA sim=0.41;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
5722;BUCHA KRONA RED SOLD CURTA 40 X 32MM;ELETRICO_PEQUENO;4.0;0.8;0.0018;ANALOGO:17995 ESPACADOR CORTAG NIVELADOR SLIM 1,0 MM AZUL sim=0.33;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20255;JAN QUALITY COR NATURAL 2F 100 X 1,00 V CANELADO;JANELA;1.0;31.4;0.0156;"ANALOGO:22934 REV. KARINA REF. 21003 ""A"" 20 X 120 CARVALHO CANELA RET H sim=0.48";BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
20990;JAN QUALITY COR 2F 1,00 X 1,00 VIDRO LISO BRANCA;JANELA;3.0;35.4;0.141;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.48;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21515;JAN METALFLEX TROPICAL SLIM 2F 1,00 X 1,50 VL BRANCA;JANELA;1.0;11.8;0.047;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.66;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
21518;JAN METALFLEX TROPICAL SLIM C/GRADE 2F 1,00 X 1,20 VL BRA;JANELA;1.0;11.8;0.047;ANALOGO:20937 PORTA METALFLEX POSTIGO SPP 080 X 210 VL BRANCA ESQ sim=0.57;MEDIA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
18402;KIT JAPI ACESS SAMBA QUADRADO CROM 5 PCS;KIT_ACESSORIO;1.0;0.3;0.0012;ANALOGO:20675 KIT BELLARENZO STANDER BELLARENZO sim=0.36;BAIXA;"DADO SINTETICO PARA PROTOTIPO; SUBSTITUIR POR CUBAGEM REAL EM PRODUCAO"
